"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6804","PW01111 - Fail this SMOKE @smoke","webkit","2026-03-07","failed","2026-03-07","Essential Level - Must Know Blindfolded","","",""
"","7813","PW01 - Setup Playwright and first test SMOKE @smoke","webkit","2026-03-07","passed","2026-03-07","Essential Level - Must Know Blindfolded","","",""
"","2075","PW03 - same 3","webkit","2026-03-07","passed","2026-03-07","Essential Level - Must Know Blindfolded","","",""
"","1911","PW02 - same 2","webkit","2026-03-07","passed","2026-03-07","Essential Level - Must Know Blindfolded","","",""
"","1893","PW01 - Setup Playwright and first test","webkit","2026-03-07","passed","2026-03-07","Essential Level - Must Know Blindfolded","","",""
"","1813","PW03 - same 3","webkit","2026-03-07","passed","2026-03-07","Essential Level - Must Know Blindfolded","","",""
"","1880","PW02 - same 2","webkit","2026-03-07","passed","2026-03-07","Essential Level - Must Know Blindfolded","","",""
