"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1112","PW03 - same 3","chromium","2026-02-24","passed","2026-02-24","Essential Level - Must Know Blindfolded","","",""
"","1293","PW01 - Setup Playwright and first test SMOKE @smoke","chromium","2026-02-24","passed","2026-02-24","Essential Level - Must Know Blindfolded","","",""
"","1222","PW02 - same 2","chromium","2026-02-24","passed","2026-02-24","Essential Level - Must Know Blindfolded","","",""
"","1154","PW01 - Setup Playwright and first test","chromium","2026-02-24","passed","2026-02-24","Essential Level - Must Know Blindfolded","","",""
"","1142","PW03 - same 3","chromium","2026-02-24","passed","2026-02-24","Essential Level - Must Know Blindfolded","","",""
"","6422","PW01111 - Fail this SMOKE @smoke","chromium","2026-02-24","failed","2026-02-24","Essential Level - Must Know Blindfolded","","",""
"","1171","PW02 - same 2","chromium","2026-02-24","passed","2026-02-24","Essential Level - Must Know Blindfolded","","",""
