"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1371","PW01 - Setup Playwright and first test","firefox","2026-05-13","passed","2026-05-13","Essential Level - Must Know Blindfolded","","",""
"","1400","PW03 - same 3","firefox","2026-05-13","passed","2026-05-13","Essential Level - Must Know Blindfolded","","",""
"","2494","PW02 - same 2","firefox","2026-05-13","passed","2026-05-13","Essential Level - Must Know Blindfolded","","",""
"","7148","PW01111 - Fail this SMOKE @smoke","firefox","2026-05-13","failed","2026-05-13","Essential Level - Must Know Blindfolded","","",""
"","2213","PW01 - Setup Playwright and first test SMOKE @smoke","firefox","2026-05-13","passed","2026-05-13","Essential Level - Must Know Blindfolded","","",""
"","1297","PW02 - same 2","firefox","2026-05-13","passed","2026-05-13","Essential Level - Must Know Blindfolded","","",""
"","1425","PW03 - same 3","firefox","2026-05-13","passed","2026-05-13","Essential Level - Must Know Blindfolded","","",""
