"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1367","PW03 - same 3","firefox","2026-04-09","passed","2026-04-09","Essential Level - Must Know Blindfolded","","",""
"","2204","PW01 - Setup Playwright and first test SMOKE @smoke","firefox","2026-04-09","passed","2026-04-09","Essential Level - Must Know Blindfolded","","",""
"","2154","PW02 - same 2","firefox","2026-04-09","passed","2026-04-09","Essential Level - Must Know Blindfolded","","",""
"","1354","PW02 - same 2","firefox","2026-04-09","passed","2026-04-09","Essential Level - Must Know Blindfolded","","",""
"","7200","PW01111 - Fail this SMOKE @smoke","firefox","2026-04-09","failed","2026-04-09","Essential Level - Must Know Blindfolded","","",""
"","1612","PW03 - same 3","firefox","2026-04-09","passed","2026-04-09","Essential Level - Must Know Blindfolded","","",""
"","1378","PW01 - Setup Playwright and first test","firefox","2026-04-09","passed","2026-04-09","Essential Level - Must Know Blindfolded","","",""
