"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1446","PW02 - same 2","firefox","2026-01-22","passed","2026-01-22","Essential Level - Must Know Blindfolded","","",""
"","1577","PW01 - Setup Playwright and first test","firefox","2026-01-22","passed","2026-01-22","Essential Level - Must Know Blindfolded","","",""
"","1700","PW03 - same 3","firefox","2026-01-22","passed","2026-01-22","Essential Level - Must Know Blindfolded","","",""
"","2335","PW02 - same 2","firefox","2026-01-22","passed","2026-01-22","Essential Level - Must Know Blindfolded","","",""
"","1555","PW03 - same 3","firefox","2026-01-22","passed","2026-01-22","Essential Level - Must Know Blindfolded","","",""
"","7299","PW01111 - Fail this SMOKE @smoke","firefox","2026-01-22","failed","2026-01-22","Essential Level - Must Know Blindfolded","","",""
"","2213","PW01 - Setup Playwright and first test SMOKE @smoke","firefox","2026-01-22","passed","2026-01-22","Essential Level - Must Know Blindfolded","","",""
