"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1481","PW03 - same 3","firefox","2026-08-10","passed","2026-08-10","Essential Level - Must Know Blindfolded","","",""
"","1261","PW03 - same 3","firefox","2026-08-10","passed","2026-08-10","Essential Level - Must Know Blindfolded","","",""
"","2066","PW02 - same 2","firefox","2026-08-10","passed","2026-08-10","Essential Level - Must Know Blindfolded","","",""
"","7047","PW01111 - Fail this SMOKE @smoke","firefox","2026-08-10","failed","2026-08-10","Essential Level - Must Know Blindfolded","","",""
"","1242","PW02 - same 2","firefox","2026-08-10","passed","2026-08-10","Essential Level - Must Know Blindfolded","","",""
"","2591","PW01 - Setup Playwright and first test SMOKE @smoke","firefox","2026-08-10","passed","2026-08-10","Essential Level - Must Know Blindfolded","","",""
"","1272","PW01 - Setup Playwright and first test","firefox","2026-08-10","passed","2026-08-10","Essential Level - Must Know Blindfolded","","",""
