"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1146","PW03 - same 3","chromium","2026-07-31","passed","2026-07-31","Essential Level - Must Know Blindfolded","","",""
"","1157","PW01 - Setup Playwright and first test","chromium","2026-07-31","passed","2026-07-31","Essential Level - Must Know Blindfolded","","",""
"","1226","PW02 - same 2","chromium","2026-07-31","passed","2026-07-31","Essential Level - Must Know Blindfolded","","",""
"","1155","PW03 - same 3","chromium","2026-07-31","passed","2026-07-31","Essential Level - Must Know Blindfolded","","",""
"","1147","PW02 - same 2","chromium","2026-07-31","passed","2026-07-31","Essential Level - Must Know Blindfolded","","",""
"","6560","PW01111 - Fail this SMOKE @smoke","chromium","2026-07-31","failed","2026-07-31","Essential Level - Must Know Blindfolded","","",""
"","1327","PW01 - Setup Playwright and first test SMOKE @smoke","chromium","2026-07-31","passed","2026-07-31","Essential Level - Must Know Blindfolded","","",""
