"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1162","PW01 - Setup Playwright and first test","chromium","2026-08-11","passed","2026-08-11","Essential Level - Must Know Blindfolded","","",""
"","1226","PW01 - Setup Playwright and first test SMOKE @smoke","chromium","2026-08-11","passed","2026-08-11","Essential Level - Must Know Blindfolded","","",""
"","1135","PW02 - same 2","chromium","2026-08-11","passed","2026-08-11","Essential Level - Must Know Blindfolded","","",""
"","6479","PW01111 - Fail this SMOKE @smoke","chromium","2026-08-11","failed","2026-08-11","Essential Level - Must Know Blindfolded","","",""
"","1202","PW02 - same 2","chromium","2026-08-11","passed","2026-08-11","Essential Level - Must Know Blindfolded","","",""
"","1163","PW03 - same 3","chromium","2026-08-11","passed","2026-08-11","Essential Level - Must Know Blindfolded","","",""
"","1162","PW03 - same 3","chromium","2026-08-11","passed","2026-08-11","Essential Level - Must Know Blindfolded","","",""
