"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6935","PW01111 - Fail this SMOKE @smoke","webkit","2026-06-10","failed","2026-06-10","Essential Level - Must Know Blindfolded","","",""
"","2322","PW02 - same 2","webkit","2026-06-10","passed","2026-06-10","Essential Level - Must Know Blindfolded","","",""
"","2143","PW03 - same 3","webkit","2026-06-10","passed","2026-06-10","Essential Level - Must Know Blindfolded","","",""
"","8433","PW01 - Setup Playwright and first test SMOKE @smoke","webkit","2026-06-10","passed","2026-06-10","Essential Level - Must Know Blindfolded","","",""
"","2012","PW02 - same 2","webkit","2026-06-10","passed","2026-06-10","Essential Level - Must Know Blindfolded","","",""
"","1997","PW01 - Setup Playwright and first test","webkit","2026-06-10","passed","2026-06-10","Essential Level - Must Know Blindfolded","","",""
"","1833","PW03 - same 3","webkit","2026-06-10","passed","2026-06-10","Essential Level - Must Know Blindfolded","","",""
