"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1349","PW01 - Setup Playwright and first test SMOKE @smoke","chromium","2026-06-11","passed","2026-06-11","Essential Level - Must Know Blindfolded","","",""
"","1159","PW03 - same 3","chromium","2026-06-11","passed","2026-06-11","Essential Level - Must Know Blindfolded","","",""
"","1248","PW02 - same 2","chromium","2026-06-11","passed","2026-06-11","Essential Level - Must Know Blindfolded","","",""
"","1230","PW03 - same 3","chromium","2026-06-11","passed","2026-06-11","Essential Level - Must Know Blindfolded","","",""
"","1194","PW02 - same 2","chromium","2026-06-11","passed","2026-06-11","Essential Level - Must Know Blindfolded","","",""
"","1186","PW01 - Setup Playwright and first test","chromium","2026-06-11","passed","2026-06-11","Essential Level - Must Know Blindfolded","","",""
"","6440","PW01111 - Fail this SMOKE @smoke","chromium","2026-06-11","failed","2026-06-11","Essential Level - Must Know Blindfolded","","",""
