"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1441","PW01 - Setup Playwright and first test","firefox","2026-06-19","passed","2026-06-19","Essential Level - Must Know Blindfolded","","",""
"","1403","PW02 - same 2","firefox","2026-06-19","passed","2026-06-19","Essential Level - Must Know Blindfolded","","",""
"","2169","PW02 - same 2","firefox","2026-06-19","passed","2026-06-19","Essential Level - Must Know Blindfolded","","",""
"","1518","PW03 - same 3","firefox","2026-06-19","passed","2026-06-19","Essential Level - Must Know Blindfolded","","",""
"","2138","PW01 - Setup Playwright and first test SMOKE @smoke","firefox","2026-06-19","passed","2026-06-19","Essential Level - Must Know Blindfolded","","",""
"","7098","PW01111 - Fail this SMOKE @smoke","firefox","2026-06-19","failed","2026-06-19","Essential Level - Must Know Blindfolded","","",""
"","1451","PW03 - same 3","firefox","2026-06-19","passed","2026-06-19","Essential Level - Must Know Blindfolded","","",""
