"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3089","PW01 - Setup Playwright and first test SMOKE @smoke","firefox","2026-03-01","passed","2026-03-01","Essential Level - Must Know Blindfolded","","",""
"","2738","PW02 - same 2","firefox","2026-03-01","passed","2026-03-01","Essential Level - Must Know Blindfolded","","",""
"","7511","PW01111 - Fail this SMOKE @smoke","firefox","2026-03-01","failed","2026-03-01","Essential Level - Must Know Blindfolded","","",""
"","1684","PW03 - same 3","firefox","2026-03-01","passed","2026-03-01","Essential Level - Must Know Blindfolded","","",""
"","1739","PW02 - same 2","firefox","2026-03-01","passed","2026-03-01","Essential Level - Must Know Blindfolded","","",""
"","1739","PW01 - Setup Playwright and first test","firefox","2026-03-01","passed","2026-03-01","Essential Level - Must Know Blindfolded","","",""
"","1771","PW03 - same 3","firefox","2026-03-01","passed","2026-03-01","Essential Level - Must Know Blindfolded","","",""
