"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1092","PW03 - same 3","chromium","2026-07-22","passed","2026-07-22","Essential Level - Must Know Blindfolded","","",""
"","1268","PW01 - Setup Playwright and first test SMOKE @smoke","chromium","2026-07-22","passed","2026-07-22","Essential Level - Must Know Blindfolded","","",""
"","1163","PW02 - same 2","chromium","2026-07-22","passed","2026-07-22","Essential Level - Must Know Blindfolded","","",""
"","6384","PW01111 - Fail this SMOKE @smoke","chromium","2026-07-22","failed","2026-07-22","Essential Level - Must Know Blindfolded","","",""
"","1066","PW02 - same 2","chromium","2026-07-22","passed","2026-07-22","Essential Level - Must Know Blindfolded","","",""
"","1068","PW01 - Setup Playwright and first test","chromium","2026-07-22","passed","2026-07-22","Essential Level - Must Know Blindfolded","","",""
"","1080","PW03 - same 3","chromium","2026-07-22","passed","2026-07-22","Essential Level - Must Know Blindfolded","","",""
