"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2276","PW01 - Setup Playwright and first test","webkit","2026-06-14","passed","2026-06-14","Essential Level - Must Know Blindfolded","","",""
"","7099","PW01111 - Fail this SMOKE @smoke","webkit","2026-06-14","failed","2026-06-14","Essential Level - Must Know Blindfolded","","",""
"","2035","PW02 - same 2","webkit","2026-06-14","passed","2026-06-14","Essential Level - Must Know Blindfolded","","",""
"","2076","PW03 - same 3","webkit","2026-06-14","passed","2026-06-14","Essential Level - Must Know Blindfolded","","",""
"","2118","PW03 - same 3","webkit","2026-06-14","passed","2026-06-14","Essential Level - Must Know Blindfolded","","",""
"","2206","PW02 - same 2","webkit","2026-06-14","passed","2026-06-14","Essential Level - Must Know Blindfolded","","",""
"","6198","PW01 - Setup Playwright and first test SMOKE @smoke","webkit","2026-06-14","passed","2026-06-14","Essential Level - Must Know Blindfolded","","",""
