"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1956","PW02 - same 2","webkit","2026-05-15","passed","2026-05-15","Essential Level - Must Know Blindfolded","","",""
"","6892","PW01111 - Fail this SMOKE @smoke","webkit","2026-05-15","failed","2026-05-15","Essential Level - Must Know Blindfolded","","",""
"","13976","PW01 - Setup Playwright and first test SMOKE @smoke","webkit","2026-05-15","passed","2026-05-15","Essential Level - Must Know Blindfolded","","",""
"","1809","PW02 - same 2","webkit","2026-05-15","passed","2026-05-15","Essential Level - Must Know Blindfolded","","",""
"","2087","PW03 - same 3","webkit","2026-05-15","passed","2026-05-15","Essential Level - Must Know Blindfolded","","",""
"","2155","PW03 - same 3","webkit","2026-05-15","passed","2026-05-15","Essential Level - Must Know Blindfolded","","",""
"","1800","PW01 - Setup Playwright and first test","webkit","2026-05-15","passed","2026-05-15","Essential Level - Must Know Blindfolded","","",""
