"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7180","PW01111 - Fail this SMOKE @smoke","webkit","2026-06-22","failed","2026-06-22","Essential Level - Must Know Blindfolded","","",""
"","5057","PW01 - Setup Playwright and first test SMOKE @smoke","webkit","2026-06-22","passed","2026-06-22","Essential Level - Must Know Blindfolded","","",""
"","2276","PW01 - Setup Playwright and first test","webkit","2026-06-22","passed","2026-06-22","Essential Level - Must Know Blindfolded","","",""
"","2210","PW02 - same 2","webkit","2026-06-22","passed","2026-06-22","Essential Level - Must Know Blindfolded","","",""
"","2142","PW03 - same 3","webkit","2026-06-22","passed","2026-06-22","Essential Level - Must Know Blindfolded","","",""
"","2195","PW02 - same 2","webkit","2026-06-22","passed","2026-06-22","Essential Level - Must Know Blindfolded","","",""
"","2240","PW03 - same 3","webkit","2026-06-22","passed","2026-06-22","Essential Level - Must Know Blindfolded","","",""
