"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7841","PW01 - Setup Playwright and first test SMOKE @smoke","webkit","2026-01-16","passed","2026-01-16","Essential Level - Must Know Blindfolded","","",""
"","1941","PW02 - same 2","webkit","2026-01-16","passed","2026-01-16","Essential Level - Must Know Blindfolded","","",""
"","2084","PW03 - same 3","webkit","2026-01-16","passed","2026-01-16","Essential Level - Must Know Blindfolded","","",""
"","2046","PW02 - same 2","webkit","2026-01-16","passed","2026-01-16","Essential Level - Must Know Blindfolded","","",""
"","1826","PW03 - same 3","webkit","2026-01-16","passed","2026-01-16","Essential Level - Must Know Blindfolded","","",""
"","6923","PW01111 - Fail this SMOKE @smoke","webkit","2026-01-16","failed","2026-01-16","Essential Level - Must Know Blindfolded","","",""
"","2036","PW01 - Setup Playwright and first test","webkit","2026-01-16","passed","2026-01-16","Essential Level - Must Know Blindfolded","","",""
