"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1373","PW03 - same 3","firefox","2026-08-07","passed","2026-08-07","Essential Level - Must Know Blindfolded","","",""
"","1339","PW03 - same 3","firefox","2026-08-07","passed","2026-08-07","Essential Level - Must Know Blindfolded","","",""
"","2142","PW02 - same 2","firefox","2026-08-07","passed","2026-08-07","Essential Level - Must Know Blindfolded","","",""
"","7167","PW01111 - Fail this SMOKE @smoke","firefox","2026-08-07","failed","2026-08-07","Essential Level - Must Know Blindfolded","","",""
"","4903","PW01 - Setup Playwright and first test SMOKE @smoke","firefox","2026-08-07","passed","2026-08-07","Essential Level - Must Know Blindfolded","","",""
"","1351","PW01 - Setup Playwright and first test","firefox","2026-08-07","passed","2026-08-07","Essential Level - Must Know Blindfolded","","",""
"","1335","PW02 - same 2","firefox","2026-08-07","passed","2026-08-07","Essential Level - Must Know Blindfolded","","",""
