"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1558","PW01 - Setup Playwright and first test SMOKE @smoke","chromium","2026-05-06","passed","2026-05-06","Essential Level - Must Know Blindfolded","","",""
"","6787","PW01111 - Fail this SMOKE @smoke","chromium","2026-05-06","failed","2026-05-06","Essential Level - Must Know Blindfolded","","",""
"","1526","PW02 - same 2","chromium","2026-05-06","passed","2026-05-06","Essential Level - Must Know Blindfolded","","",""
"","1513","PW03 - same 3","chromium","2026-05-06","passed","2026-05-06","Essential Level - Must Know Blindfolded","","",""
"","1475","PW02 - same 2","chromium","2026-05-06","passed","2026-05-06","Essential Level - Must Know Blindfolded","","",""
"","1500","PW03 - same 3","chromium","2026-05-06","passed","2026-05-06","Essential Level - Must Know Blindfolded","","",""
"","1515","PW01 - Setup Playwright and first test","chromium","2026-05-06","passed","2026-05-06","Essential Level - Must Know Blindfolded","","",""
