"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1164","PW03 - same 3","chromium","2026-04-08","passed","2026-04-08","Essential Level - Must Know Blindfolded","","",""
"","1188","PW01 - Setup Playwright and first test","chromium","2026-04-08","passed","2026-04-08","Essential Level - Must Know Blindfolded","","",""
"","6527","PW01111 - Fail this SMOKE @smoke","chromium","2026-04-08","failed","2026-04-08","Essential Level - Must Know Blindfolded","","",""
"","1250","PW02 - same 2","chromium","2026-04-08","passed","2026-04-08","Essential Level - Must Know Blindfolded","","",""
"","1222","PW02 - same 2","chromium","2026-04-08","passed","2026-04-08","Essential Level - Must Know Blindfolded","","",""
"","1334","PW01 - Setup Playwright and first test SMOKE @smoke","chromium","2026-04-08","passed","2026-04-08","Essential Level - Must Know Blindfolded","","",""
"","1199","PW03 - same 3","chromium","2026-04-08","passed","2026-04-08","Essential Level - Must Know Blindfolded","","",""
