"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1207","PW02 - same 2","chromium","2026-05-26","passed","2026-05-26","Essential Level - Must Know Blindfolded","","",""
"","1170","PW02 - same 2","chromium","2026-05-26","passed","2026-05-26","Essential Level - Must Know Blindfolded","","",""
"","1177","PW01 - Setup Playwright and first test","chromium","2026-05-26","passed","2026-05-26","Essential Level - Must Know Blindfolded","","",""
"","1295","PW01 - Setup Playwright and first test SMOKE @smoke","chromium","2026-05-26","passed","2026-05-26","Essential Level - Must Know Blindfolded","","",""
"","6440","PW01111 - Fail this SMOKE @smoke","chromium","2026-05-26","failed","2026-05-26","Essential Level - Must Know Blindfolded","","",""
"","1146","PW03 - same 3","chromium","2026-05-26","passed","2026-05-26","Essential Level - Must Know Blindfolded","","",""
"","1189","PW03 - same 3","chromium","2026-05-26","passed","2026-05-26","Essential Level - Must Know Blindfolded","","",""
