"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2570","PW02 - same 2","firefox","2026-06-03","passed","2026-06-03","Essential Level - Must Know Blindfolded","","",""
"","1751","PW03 - same 3","firefox","2026-06-03","passed","2026-06-03","Essential Level - Must Know Blindfolded","","",""
"","2571","PW01 - Setup Playwright and first test SMOKE @smoke","firefox","2026-06-03","passed","2026-06-03","Essential Level - Must Know Blindfolded","","",""
"","1701","PW01 - Setup Playwright and first test","firefox","2026-06-03","passed","2026-06-03","Essential Level - Must Know Blindfolded","","",""
"","7532","PW01111 - Fail this SMOKE @smoke","firefox","2026-06-03","failed","2026-06-03","Essential Level - Must Know Blindfolded","","",""
"","1869","PW03 - same 3","firefox","2026-06-03","passed","2026-06-03","Essential Level - Must Know Blindfolded","","",""
"","1822","PW02 - same 2","firefox","2026-06-03","passed","2026-06-03","Essential Level - Must Know Blindfolded","","",""
