"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7028","PW01111 - Fail this SMOKE @smoke","webkit","2026-04-22","failed","2026-04-22","Essential Level - Must Know Blindfolded","","",""
"","5019","PW01 - Setup Playwright and first test SMOKE @smoke","webkit","2026-04-22","passed","2026-04-22","Essential Level - Must Know Blindfolded","","",""
"","2129","PW03 - same 3","webkit","2026-04-22","passed","2026-04-22","Essential Level - Must Know Blindfolded","","",""
"","2106","PW02 - same 2","webkit","2026-04-22","passed","2026-04-22","Essential Level - Must Know Blindfolded","","",""
"","2004","PW01 - Setup Playwright and first test","webkit","2026-04-22","passed","2026-04-22","Essential Level - Must Know Blindfolded","","",""
"","2325","PW03 - same 3","webkit","2026-04-22","passed","2026-04-22","Essential Level - Must Know Blindfolded","","",""
"","2367","PW02 - same 2","webkit","2026-04-22","passed","2026-04-22","Essential Level - Must Know Blindfolded","","",""
