"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7539","PW01111 - Fail this SMOKE @smoke","firefox","2026-07-13","failed","2026-07-13","Essential Level - Must Know Blindfolded","","",""
"","1691","PW01 - Setup Playwright and first test","firefox","2026-07-13","passed","2026-07-13","Essential Level - Must Know Blindfolded","","",""
"","1747","PW02 - same 2","firefox","2026-07-13","passed","2026-07-13","Essential Level - Must Know Blindfolded","","",""
"","2540","PW01 - Setup Playwright and first test SMOKE @smoke","firefox","2026-07-13","passed","2026-07-13","Essential Level - Must Know Blindfolded","","",""
"","2132","PW03 - same 3","firefox","2026-07-13","passed","2026-07-13","Essential Level - Must Know Blindfolded","","",""
"","1739","PW03 - same 3","firefox","2026-07-13","passed","2026-07-13","Essential Level - Must Know Blindfolded","","",""
"","2550","PW02 - same 2","firefox","2026-07-13","passed","2026-07-13","Essential Level - Must Know Blindfolded","","",""
