"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1796","PW02 - same 2","webkit","2026-01-23","passed","2026-01-23","Essential Level - Must Know Blindfolded","","",""
"","1922","PW03 - same 3","webkit","2026-01-23","passed","2026-01-23","Essential Level - Must Know Blindfolded","","",""
"","1845","PW03 - same 3","webkit","2026-01-23","passed","2026-01-23","Essential Level - Must Know Blindfolded","","",""
"","6887","PW01111 - Fail this SMOKE @smoke","webkit","2026-01-23","failed","2026-01-23","Essential Level - Must Know Blindfolded","","",""
"","7076","PW01 - Setup Playwright and first test SMOKE @smoke","webkit","2026-01-23","passed","2026-01-23","Essential Level - Must Know Blindfolded","","",""
"","2029","PW01 - Setup Playwright and first test","webkit","2026-01-23","passed","2026-01-23","Essential Level - Must Know Blindfolded","","",""
"","2072","PW02 - same 2","webkit","2026-01-23","passed","2026-01-23","Essential Level - Must Know Blindfolded","","",""
