"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2393","PW01 - Setup Playwright and first test","webkit","2026-04-23","passed","2026-04-23","Essential Level - Must Know Blindfolded","","",""
"","6971","PW01111 - Fail this SMOKE @smoke","webkit","2026-04-23","failed","2026-04-23","Essential Level - Must Know Blindfolded","","",""
"","1871","PW03 - same 3","webkit","2026-04-23","passed","2026-04-23","Essential Level - Must Know Blindfolded","","",""
"","2280","PW03 - same 3","webkit","2026-04-23","passed","2026-04-23","Essential Level - Must Know Blindfolded","","",""
"","1906","PW02 - same 2","webkit","2026-04-23","passed","2026-04-23","Essential Level - Must Know Blindfolded","","",""
"","3559","PW01 - Setup Playwright and first test SMOKE @smoke","webkit","2026-04-23","passed","2026-04-23","Essential Level - Must Know Blindfolded","","",""
"","2265","PW02 - same 2","webkit","2026-04-23","passed","2026-04-23","Essential Level - Must Know Blindfolded","","",""
