"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1993","PW01 - Setup Playwright and first test","webkit","2026-04-13","passed","2026-04-13","Essential Level - Must Know Blindfolded","","",""
"","6935","PW01111 - Fail this SMOKE @smoke","webkit","2026-04-13","failed","2026-04-13","Essential Level - Must Know Blindfolded","","",""
"","5720","PW01 - Setup Playwright and first test SMOKE @smoke","webkit","2026-04-13","passed","2026-04-13","Essential Level - Must Know Blindfolded","","",""
"","1985","PW03 - same 3","webkit","2026-04-13","passed","2026-04-13","Essential Level - Must Know Blindfolded","","",""
"","1874","PW03 - same 3","webkit","2026-04-13","passed","2026-04-13","Essential Level - Must Know Blindfolded","","",""
"","2092","PW02 - same 2","webkit","2026-04-13","passed","2026-04-13","Essential Level - Must Know Blindfolded","","",""
"","2035","PW02 - same 2","webkit","2026-04-13","passed","2026-04-13","Essential Level - Must Know Blindfolded","","",""
