"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1343","PW01 - Setup Playwright and first test","chromium","2026-04-03","passed","2026-04-03","Essential Level - Must Know Blindfolded","","",""
"","6600","PW01111 - Fail this SMOKE @smoke","chromium","2026-04-03","failed","2026-04-03","Essential Level - Must Know Blindfolded","","",""
"","1356","PW02 - same 2","chromium","2026-04-03","passed","2026-04-03","Essential Level - Must Know Blindfolded","","",""
"","1361","PW03 - same 3","chromium","2026-04-03","passed","2026-04-03","Essential Level - Must Know Blindfolded","","",""
"","1312","PW03 - same 3","chromium","2026-04-03","passed","2026-04-03","Essential Level - Must Know Blindfolded","","",""
"","1389","PW01 - Setup Playwright and first test SMOKE @smoke","chromium","2026-04-03","passed","2026-04-03","Essential Level - Must Know Blindfolded","","",""
"","1335","PW02 - same 2","chromium","2026-04-03","passed","2026-04-03","Essential Level - Must Know Blindfolded","","",""
