"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1184","PW03 - same 3","chromium","2026-03-14","passed","2026-03-14","Essential Level - Must Know Blindfolded","","",""
"","1150","PW01 - Setup Playwright and first test","chromium","2026-03-14","passed","2026-03-14","Essential Level - Must Know Blindfolded","","",""
"","1142","PW03 - same 3","chromium","2026-03-14","passed","2026-03-14","Essential Level - Must Know Blindfolded","","",""
"","1220","PW02 - same 2","chromium","2026-03-14","passed","2026-03-14","Essential Level - Must Know Blindfolded","","",""
"","1171","PW02 - same 2","chromium","2026-03-14","passed","2026-03-14","Essential Level - Must Know Blindfolded","","",""
"","6572","PW01111 - Fail this SMOKE @smoke","chromium","2026-03-14","failed","2026-03-14","Essential Level - Must Know Blindfolded","","",""
"","1269","PW01 - Setup Playwright and first test SMOKE @smoke","chromium","2026-03-14","passed","2026-03-14","Essential Level - Must Know Blindfolded","","",""
