"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1303","PW01 - Setup Playwright and first test","firefox","2026-09-07","passed","2026-09-07","Essential Level - Must Know Blindfolded","","",""
"","1283","PW02 - same 2","firefox","2026-09-07","passed","2026-09-07","Essential Level - Must Know Blindfolded","","",""
"","1366","PW03 - same 3","firefox","2026-09-07","passed","2026-09-07","Essential Level - Must Know Blindfolded","","",""
"","2169","PW02 - same 2","firefox","2026-09-07","passed","2026-09-07","Essential Level - Must Know Blindfolded","","",""
"","2151","PW01 - Setup Playwright and first test SMOKE @smoke","firefox","2026-09-07","passed","2026-09-07","Essential Level - Must Know Blindfolded","","",""
"","7116","PW01111 - Fail this SMOKE @smoke","firefox","2026-09-07","failed","2026-09-07","Essential Level - Must Know Blindfolded","","",""
"","1289","PW03 - same 3","firefox","2026-09-07","passed","2026-09-07","Essential Level - Must Know Blindfolded","","",""
