"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4439","PW01 - Setup Playwright and first test SMOKE @smoke","firefox","2026-03-10","passed","2026-03-10","Essential Level - Must Know Blindfolded","","",""
"","1887","PW01 - Setup Playwright and first test","firefox","2026-03-10","passed","2026-03-10","Essential Level - Must Know Blindfolded","","",""
"","1936","PW02 - same 2","firefox","2026-03-10","passed","2026-03-10","Essential Level - Must Know Blindfolded","","",""
"","7744","PW01111 - Fail this SMOKE @smoke","firefox","2026-03-10","failed","2026-03-10","Essential Level - Must Know Blindfolded","","",""
"","1883","PW03 - same 3","firefox","2026-03-10","passed","2026-03-10","Essential Level - Must Know Blindfolded","","",""
"","2760","PW02 - same 2","firefox","2026-03-10","passed","2026-03-10","Essential Level - Must Know Blindfolded","","",""
"","1906","PW03 - same 3","firefox","2026-03-10","passed","2026-03-10","Essential Level - Must Know Blindfolded","","",""
