"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7623","PW01111 - Fail this SMOKE @smoke","firefox","2026-02-12","failed","2026-02-12","Essential Level - Must Know Blindfolded","","",""
"","3107","PW01 - Setup Playwright and first test SMOKE @smoke","firefox","2026-02-12","passed","2026-02-12","Essential Level - Must Know Blindfolded","","",""
"","1863","PW03 - same 3","firefox","2026-02-12","passed","2026-02-12","Essential Level - Must Know Blindfolded","","",""
"","1808","PW02 - same 2","firefox","2026-02-12","passed","2026-02-12","Essential Level - Must Know Blindfolded","","",""
"","2643","PW02 - same 2","firefox","2026-02-12","passed","2026-02-12","Essential Level - Must Know Blindfolded","","",""
"","1802","PW01 - Setup Playwright and first test","firefox","2026-02-12","passed","2026-02-12","Essential Level - Must Know Blindfolded","","",""
"","1758","PW03 - same 3","firefox","2026-02-12","passed","2026-02-12","Essential Level - Must Know Blindfolded","","",""
