"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2194","PW02 - same 2","firefox","2026-06-20","passed","2026-06-20","Essential Level - Must Know Blindfolded","","",""
"","1409","PW03 - same 3","firefox","2026-06-20","passed","2026-06-20","Essential Level - Must Know Blindfolded","","",""
"","1405","PW03 - same 3","firefox","2026-06-20","passed","2026-06-20","Essential Level - Must Know Blindfolded","","",""
"","7165","PW01111 - Fail this SMOKE @smoke","firefox","2026-06-20","failed","2026-06-20","Essential Level - Must Know Blindfolded","","",""
"","1576","PW01 - Setup Playwright and first test","firefox","2026-06-20","passed","2026-06-20","Essential Level - Must Know Blindfolded","","",""
"","2855","PW01 - Setup Playwright and first test SMOKE @smoke","firefox","2026-06-20","passed","2026-06-20","Essential Level - Must Know Blindfolded","","",""
"","1384","PW02 - same 2","firefox","2026-06-20","passed","2026-06-20","Essential Level - Must Know Blindfolded","","",""
