"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2531","PW02 - same 2","webkit","2026-04-02","passed","2026-04-02","Essential Level - Must Know Blindfolded","","",""
"","2203","PW03 - same 3","webkit","2026-04-02","passed","2026-04-02","Essential Level - Must Know Blindfolded","","",""
"","2114","PW01 - Setup Playwright and first test","webkit","2026-04-02","passed","2026-04-02","Essential Level - Must Know Blindfolded","","",""
"","4730","PW01 - Setup Playwright and first test SMOKE @smoke","webkit","2026-04-02","passed","2026-04-02","Essential Level - Must Know Blindfolded","","",""
"","2562","PW03 - same 3","webkit","2026-04-02","passed","2026-04-02","Essential Level - Must Know Blindfolded","","",""
"","7205","PW01111 - Fail this SMOKE @smoke","webkit","2026-04-02","failed","2026-04-02","Essential Level - Must Know Blindfolded","","",""
"","2283","PW02 - same 2","webkit","2026-04-02","passed","2026-04-02","Essential Level - Must Know Blindfolded","","",""
