"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2210","PW03 - same 3","webkit","2026-03-12","passed","2026-03-12","Essential Level - Must Know Blindfolded","","",""
"","6015","PW01 - Setup Playwright and first test SMOKE @smoke","webkit","2026-03-12","passed","2026-03-12","Essential Level - Must Know Blindfolded","","",""
"","1871","PW02 - same 2","webkit","2026-03-12","passed","2026-03-12","Essential Level - Must Know Blindfolded","","",""
"","6937","PW01111 - Fail this SMOKE @smoke","webkit","2026-03-12","failed","2026-03-12","Essential Level - Must Know Blindfolded","","",""
"","1932","PW01 - Setup Playwright and first test","webkit","2026-03-12","passed","2026-03-12","Essential Level - Must Know Blindfolded","","",""
"","1739","PW03 - same 3","webkit","2026-03-12","passed","2026-03-12","Essential Level - Must Know Blindfolded","","",""
"","1940","PW02 - same 2","webkit","2026-03-12","passed","2026-03-12","Essential Level - Must Know Blindfolded","","",""
